order_id,customer_id,order_date,status
1,81,2025-06-10 00:00:00.000000,Pending
2,82,2024-09-26 00:00:00.000000,Cancelled
3,78,2024-11-21 00:00:00.000000,Completed
4,20,2026-03-01 00:00:00.000000,Pending
5,98,2025-12-07 00:00:00.000000,Completed
6,70,2024-08-26 00:00:00.000000,Cancelled
8,42,2026-03-05 00:00:00.000000,Pending
9,3,2025-09-19 00:00:00.000000,Completed
10,47,2025-01-17 00:00:00.000000,Pending
11,31,2025-05-22 00:00:00.000000,Completed
12,31,2025-06-25 00:00:00.000000,Cancelled
13,11,2026-08-04 14:35:20.625100,Completed
14,94,2025-04-24 00:00:00.000000,Pending
15,9,2024-12-03 00:00:00.000000,Cancelled
16,99,2025-05-17 00:00:00.000000,Completed
17,17,2025-04-02 00:00:00.000000,Cancelled
18,61,2026-02-14 00:00:00.000000,Cancelled
19,22,2025-04-11 00:00:00.000000,Pending
20,68,2026-03-29 00:00:00.000000,Cancelled
21,55,2025-10-17 00:00:00.000000,Completed
22,70,2025-11-09 00:00:00.000000,Cancelled
23,89,2024-10-07 00:00:00.000000,Completed
24,92,2026-06-20 00:00:00.000000,Pending
25,52,2024-09-12 00:00:00.000000,Cancelled
26,84,2024-12-01 00:00:00.000000,Pending
27,57,2024-12-03 00:00:00.000000,Cancelled
28,58,2026-03-11 00:00:00.000000,Completed
29,32,2025-11-25 00:00:00.000000,Completed
30,9,2024-09-10 00:00:00.000000,Pending
31,3,2026-01-08 00:00:00.000000,Cancelled
32,71,2024-10-05 00:00:00.000000,Completed
33,76,2025-03-02 00:00:00.000000,Completed
34,1,2025-07-13 00:00:00.000000,Completed
35,91,2025-12-30 00:00:00.000000,Cancelled
36,8,2025-06-28 00:00:00.000000,Completed
37,9,2025-08-15 00:00:00.000000,Completed
38,43,2025-11-17 00:00:00.000000,Completed
39,66,2025-07-12 00:00:00.000000,Completed
40,36,2025-06-20 00:00:00.000000,Cancelled
41,63,2025-03-03 00:00:00.000000,Completed
42,70,2025-01-17 00:00:00.000000,Completed
43,93,2026-03-12 00:00:00.000000,Cancelled
44,74,2025-09-04 00:00:00.000000,Pending
45,32,2024-10-30 00:00:00.000000,Pending
46,53,2025-04-28 00:00:00.000000,Completed
47,13,2025-07-02 00:00:00.000000,Completed
48,85,2024-10-28 00:00:00.000000,Pending
49,46,2025-03-11 00:00:00.000000,Pending
50,53,2026-01-11 00:00:00.000000,Pending
51,94,2026-01-11 00:00:00.000000,Completed
52,87,2025-11-06 00:00:00.000000,Cancelled
53,83,2025-08-15 00:00:00.000000,Completed
54,8,2025-09-16 00:00:00.000000,Pending
55,94,2026-01-03 00:00:00.000000,Pending
56,14,2025-03-30 00:00:00.000000,Completed
57,25,2024-09-07 00:00:00.000000,Completed
58,69,2025-01-21 00:00:00.000000,Pending
59,18,2025-06-06 00:00:00.000000,Pending
60,24,2025-11-11 00:00:00.000000,Pending
61,60,2024-09-14 00:00:00.000000,Completed
62,10,2024-08-08 00:00:00.000000,Pending
63,71,2025-01-08 00:00:00.000000,Completed
64,7,2025-03-25 00:00:00.000000,Cancelled
65,70,2025-01-14 00:00:00.000000,Completed
66,12,2026-03-22 00:00:00.000000,Completed
67,22,2024-11-17 00:00:00.000000,Pending
68,63,2026-03-19 00:00:00.000000,Pending
69,28,2025-02-17 00:00:00.000000,Pending
70,8,2025-03-15 00:00:00.000000,Completed
71,49,2025-04-14 00:00:00.000000,Completed
72,50,2024-11-04 00:00:00.000000,Pending
73,59,2024-08-09 00:00:00.000000,Pending
74,55,2025-08-24 00:00:00.000000,Cancelled
75,94,2026-03-06 00:00:00.000000,Cancelled
76,85,2025-07-03 00:00:00.000000,Cancelled
77,63,2024-12-17 00:00:00.000000,Completed
78,25,2024-11-11 00:00:00.000000,Pending
79,28,2025-05-25 00:00:00.000000,Completed
80,75,2025-09-20 00:00:00.000000,Cancelled
81,70,2026-01-31 00:00:00.000000,Completed
82,96,2025-01-28 00:00:00.000000,Pending
83,8,2025-08-26 00:00:00.000000,Completed
84,75,2025-10-10 00:00:00.000000,Pending
85,65,2026-05-12 00:00:00.000000,Cancelled
86,21,2026-01-03 00:00:00.000000,Completed
87,66,2026-04-21 00:00:00.000000,Completed
88,24,2025-05-05 00:00:00.000000,Completed
89,77,2024-09-27 00:00:00.000000,Completed
90,87,2025-06-07 00:00:00.000000,Completed
